,gamma,beta,offset,a,t,h,intercept
Pax7,0.7036387,2.0008576,-0.9443021,2.4994862,1.4114805,202.29233,-14.252877
Pax8,8.267432,8.4634,1.2802353,1.9983608,-0.6878716,884.4609,8.125505
Phox2b,7.2883306,19.056484,2.3100839,1.5702779,-0.84421855,556.45465,3.3251908
Ptch1,7.3488903,1.881144,-0.06454501,0.65463096,-0.6531036,258.3921,9.728108
Ptprz1,14.11599,1.0929812,3.554686,16.289095,0.13379313,355.54218,81.54243
Ptx3,0.0043005077,113.93822,0.0,1.0,0.5,1071.5546,0.0
Rax,9.122872,145.1026,-1.9756027,2.9261796,-0.5001239,382.3771,0.06944466
Ror1,40.66919,0.02436686,0.0,1.0,0.5,74.113716,0.0
Rspo1,6.852649,11.235326,2.9401312,0.7217631,-1.0908352,446.19482,3.430427
Rspo2,4.5260177,0.21764381,0.0,1.0,0.5,405.48563,0.0
Rspo3,7.4911637,11.817079,2.2321944,0.7476308,-1.0645658,720.795,4.6672587
Rxrg,0.22087085,4.4833217,0.0,1.0,0.5,500.80225,0.0
Sema5a,12.766454,3.950207,1.7804334,2.4688768,-0.7472507,228.48616,58.05114
Shh,0.012464715,141.45824,0.7000723,3.9062262,1.2867795,292.28076,-0.4216765
Sim1,2.2368855,0.5731467,0.5867728,1.2839067,1.930738,70.203156,3.5734487
Six3,29.521046,0.028885677,0.0,1.0,0.5,9.133279,0.0
Six6,10.43653,53.806614,-0.4379162,2.468965,-0.69585556,896.17285,0.18271907
Slit1,10.5546465,0.091337,0.0,1.0,0.5,157.04903,0.0
Sost,3.0432038,135.56134,2.7211332,3.1090178,-0.78983396,295.21295,0.17428587
Sp8,4.6434994,5.674254,1.7979809,1.0151173,-0.91203964,114.53839,7.882119
Spon1,0.7198745,2.0174475,-0.9932931,2.4334364,1.5005404,802.6618,1.2819992
Stum,0.4883985,2.0288985,0.0,1.0,0.5,625.0692,0.0
Tal2,0.007311643,218.8229,-1.7907757,3.81028,1.3241606,1059.9238,-0.113771
Tfap2c,6.5392804,3.7104862,1.0202366,2.2685955,-0.6862191,414.96036,13.34792
Tox2,1.1582276,0.6317286,-0.9318191,0.15720119,1.724641,58.041103,8.3209505
Trh,0.0036373986,237.04985,0.0,1.0,0.5,2121.5708,0.0
Trhr,5.159045,0.19253266,0.0,1.0,0.5,85.71349,0.0
Unc5c,31.906193,0.029621795,0.0,1.0,0.5,93.81896,0.0
Veph1,2.348519,0.57080853,0.8599977,1.556122,1.875308,131.81296,1.8823329
Wnt1,0.3689155,5.9252834,-1.3648989,5.019628,1.2980413,368.38168,-13.917409
Wnt3,0.09823004,13.457046,0.03640369,1.7760621,1.7584506,348.78125,1.7290045
Wnt3a,1.1153635,0.70894897,6.972014,2.1048493,-0.8808776,140.87112,22.52335
Wnt4,0.02287615,82.185356,0.43182862,2.6317337,1.7670246,362.52576,0.34067774
Wnt5a,0.25046217,4.8164577,-1.7790563,3.0005379,1.2651106,273.31573,-4.8340716
Wnt5b,2.086256,0.46474603,-0.37407547,0.17959575,1.9964899,64.29536,11.687025
Wnt7b,22.557226,51.864857,-1.7344491,10.856166,0.12379062,530.82764,1.9841729
Wnt8b,7.5678363,9.650955,-3.2466629,1.9679732,-0.5162302,554.0234,-0.31854844
Wnt9a,0.3748098,0.14369394,6.6787853,1.9500128,-1.0104932,96.90027,78.87501
